del,id,tweet,subtask_a,subtask_b,subtask_c,cleaned_tweet,stopped,stemmed_tweet,lemmatized_tweet,tweet_length,topic,sentiment_score,sentiment_category,polarity,subjectivity,polarity_class,subjectivity_class,combined_sentiment
502,88956,@USER Exactly this Anna! She is full of it.,0,0,0,exactly anna full,exactly anna full,exact anna full,exactly anna full,9,0,0.0,0,0.3,0.4,1,Objective,0
507,56361,@USER @USER She's been active on Instagram lately. And she is dropping an album sometime this year.,0,0,0,active instagram lately dropping album sometime year,active instagram lately dropping album sometime year,activ instagram late drop album sometim year,active instagram lately dropping album sometime year,17,2,0.4019,1,-0.216666667,0.6,-1,Subjective,0
512,20855,@USER It’s (she) is a real problem.,0,0,0,real problem,real problem,real problem,real problem,7,2,-0.4019,-1,0.2,0.3,1,Objective,0
515,69106,I got more common sense than all of my followers  :),1,2,3,got common sense followers,got common sense followers,got common sens follow,got common sense follower,11,1,0.0,0,-0.3,0.5,-1,Objective,-1
535,38710,@USER I really think he is going to be GOOOOOOOOOOOOD.,0,0,0,really think going goood,really think going goood,realli think go goood,really think going goood,10,2,0.0,0,0.2,0.2,1,Objective,0
659,84306,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER She's not who she claims she is. That's the logical (and humanitarian) explanation.,0,0,0,claims logical humanitarian explanation,claims logical humanitarian explanation,claim logic humanitarian explan,claim logical humanitarian explanation,62,0,0.0,0,0.25,0.25,1,Objective,0
668,39763,GOP in striking distance to retake Franken seat #MAGA URL,0,0,0,gop striking distance retake franken seat ,gop striking distance retake franken seat,gop strike distanc retak franken seat,gop striking distance retake franken seat,10,2,0.0,0,0.5,1.0,1,Subjective,0
895,98294,Rosenstein’s 300 Attorneys ‘Helped’ Vet Kavanaugh – Now Sexual Abuse Charges URL which go back to his highschool days  and can't be proven &amp; Named witness DENIES  #Pathetic #ConfirmKavanaugh #PJNET #CCOT #maga #KAG2018 #Trump2020 #NoMoreProgressiveLiberals,1,2,3,rosenstein 300 attorneys  helped vet kavanaugh sexual abuse charges  back highschool days proven named witness denies,rosenstein 300 attorneys helped vet kavanaugh sexual abuse charges back highschool days proven named witness denies,rosenstein 300 attorney help vet kavanaugh sexual abus charg back highschool day proven name wit deni,rosenstein 300 attorney helped vet kavanaugh sexual abuse charge back highschool day proven named witness denies,35,0,-0.7906,-1,0.25,0.416666667,1,Objective,-1
1009,12272,@USER Bull...she is probably in debt and Soros is paying her...you're never afraid if this happened...give us a break..,0,0,0,bull probably debt soros paying never afraid happened give break,bull probably debt soros paying never afraid happened give break,bull probabl debt soro pay never afraid happen give break,bull probably debt soros paying never afraid happened give break,19,0,-0.3612,-1,0.3,0.9,1,Subjective,0
1015,74160,@USER @USER I much prefer the latter option.,0,0,0,much prefer latter option,much prefer latter option,much prefer latter option,much prefer latter option,8,1,0.0,0,0.1,0.1,1,Objective,0
1029,10755,@USER You are right Joe. I can do an interview with Fox when I get back from Iowa.,0,0,0,right joe interview fox get back iowa,right joe interview fox get back iowa,right joe interview fox get back iowa,right joe interview fox get back iowa,18,0,0.0,0,0.142857143,0.267857143,1,Objective,0
1060,32717,"@USER If only he were the craziest MF out there. Sadly, he is NOT. There are far worse examples of good Christians.""""",1,2,1,craziest sadly far worse examples good christians,craziest sadly far worse examples good christians,craziest sad far wors exampl good christian,craziest sadly far worse example good christian,22,0,-0.4939,-1,0.133333333,0.733333333,1,Subjective,-1
1063,13486,@USER @USER @USER What was the average wage to average house price when Thatcher was in charge? That ratio is the fundamental reason. Build as many as you like but if they are not genuinely affordable you're just wasting resources.,0,0,0,average wage average house price thatcher charge ratio fundamental reason build many like genuinely affordable wasting resources,average wage average house price thatcher charge ratio fundamental reason build many like genuinely affordable wasting resources,averag wage averag hous price thatcher charg ratio fundament reason build mani like genuin afford wast resourc,average wage average house price thatcher charge ratio fundamental reason build many like genuinely affordable wasting resource,40,0,-0.0516,-1,0.15,0.45,1,Objective,0
1119,25199,@USER @USER Ya and it looks like he is in a lit of the same MMA accounts as we have. Weird.,0,0,0,looks like lit mma accounts weird,looks like lit mma accounts weird,look like lit mma account weird,look like lit mma account weird,21,1,0.2023,1,-0.5,1.0,-1,Subjective,0
